id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_val,category
52,6101 employee pr - wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
53,6101.2 wages - social media ma...,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
54,6101.3 wages - social media ad...,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
55,6101.4 wages - sem,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
56,6101.5 wages - sales,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
57,6101.6 wages - video,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
58,6110 employee pr - wages,opex,fixed,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""thresholds"":[{""value"":0.2,""flagrate"":0.43,""confidence"":0,""created_on"":""2026-06-03T15:13:20Z"",""closing_month"":""03-2026""},{""value"":0.44,""flagrate"":0.14,""confidence"":0,""created_on"":""2026-06-04T13:17:42Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""10-2025"":5571.75},{""11-2025"":5442.14},{""12-2025"":4623.57},{""01-2026"":4618.3},{""02-2026"":4649.47},{""03-2026"":5216.61},{""09-2025"":7195.41},{""02-2025"":7053.43},{""03-2025"":9744.81},{""04-2025"":5195.21},{""05-2025"":5062.66},{""01-2025"":6636.84},{""06-2025"":5091.58},{""07-2025"":7674.59},{""08-2025"":5268.43}],""avg_absdelta"":0.19,""coefficient_of_variation"":0.94}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
59,6356 salaries & wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
60,6401 employee wages,opex,fixed,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""thresholds"":[{""value"":0.77,""flagrate"":0.14,""confidence"":0,""created_on"":""2026-06-03T14:53:27Z"",""closing_month"":""12-2025""},{""value"":0.23,""flagrate"":0.5,""confidence"":0,""created_on"":""2026-06-03T14:55:48Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""history"":[{""04-2025"":1261.54},{""05-2025"":1261.54},{""06-2025"":1261.54},{""07-2025"":1261.54},{""08-2025"":1955.39},{""10-2025"":7038.45},{""12-2025"":5529.88},{""01-2025"":1838.46},{""02-2025"":1261.54},{""03-2025"":1261.54},{""09-2025"":1450.77},{""11-2025"":2794.16},{""01-2026"":5289.45},{""02-2026"":6911.84},{""03-2026"":7611.13}],""avg_absdelta"":0.5,""coefficient_of_variation"":1.94}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
61,64100 wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
62,6451 salaries and wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
63,65101-000 salaries and wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
64,6551 salaries & wages,opex,fixed,"[{""company"":{""id"":290240,""name"":""Orange County Children's Therapeutic Arts Center""},""thresholds"":[{""value"":0.15,""flagrate"":0.4,""confidence"":0,""created_on"":""2026-06-04T13:06:23Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":290240,""name"":""Orange County Children's Therapeutic Arts Center""},""history"":[{""11-2025"":146107.75},{""12-2025"":154071},{""01-2026"":160885.58},{""02-2026"":168245.13},{""03-2026"":195131.2},{""10-2025"":196416.25}],""avg_absdelta"":0.11,""coefficient_of_variation"":0.75}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
65,6701 salaries & wages,opex,fixed,"[{""company"":{""id"":290224,""name"":""Pittwater""},""thresholds"":[{""value"":0.17,""flagrate"":0.22,""confidence"":0,""created_on"":""2026-06-03T15:10:04Z"",""closing_month"":""12-2025""},{""value"":0.15,""flagrate"":0.4,""confidence"":0,""created_on"":""2026-06-03T15:14:28Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0.35,""confidence"":0,""created_on"":""2026-06-03T15:17:53Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0.4,""confidence"":0,""created_on"":""2026-06-04T13:16:18Z"",""closing_month"":""02-2026""}]}]",,0.150,"[{""company"":{""id"":290224,""name"":""Pittwater""},""history"":[{""01-2025"":15666.67},{""02-2025"":16372.17},{""03-2025"":16916.51},{""04-2025"":19837.24},{""05-2025"":19445.04},{""07-2025"":26342.18},{""08-2025"":27030.48},{""09-2025"":29697.46},{""06-2025"":16436.63},{""10-2025"":29914.24},{""11-2025"":25260.14},{""12-2025"":27176.56},{""03-2023"":12070.83},{""04-2023"":12020.83},{""06-2023"":12156.31},{""08-2023"":13372.83},{""09-2023"":16850.65},{""11-2023"":12537.5},{""01-2023"":9084.99},{""02-2023"":12050.83},{""05-2023"":12220.83},{""07-2023"":12180.83},{""10-2023"":14042.94},{""12-2023"":12537.5},{""01-2026"":13872.1},{""02-2026"":29960.58}],""avg_absdelta"":0.17,""coefficient_of_variation"":1.48}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
66,5150 direct labor - bonus,cogs,variable,,,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""12-2025"":2000}],""avg_absdelta"":0,""coefficient_of_variation"":0}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
67,5150 direct labor - bonuses,cogs,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
68,1-65520 bonuses,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
69,3-65520 bonuses,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
70,5023 dl - bonus,cogs,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
71,60005 bonus,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
72,60006 bonus,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
73,6004 employee bonus,opex,variable,"[{""company"":{""id"":290236,""name"":""Simple Phone Company""},""thresholds"":[{""value"":0.15,""flagrate"":0.14,""confidence"":0,""created_on"":""2026-06-03T15:19:27Z"",""closing_month"":""12-2025""},{""value"":0.15,""flagrate"":0.14,""confidence"":0,""created_on"":""2026-06-03T15:21:47Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":290236,""name"":""Simple Phone Company""},""history"":[{""04-2025"":500},{""05-2025"":500},{""06-2025"":500},{""08-2025"":500},{""09-2025"":500},{""11-2025"":500},{""03-2025"":500},{""07-2025"":500},{""10-2025"":500},{""12-2025"":-5500},{""01-2025"":500},{""02-2025"":500},{""03-2026"":100},{""01-2026"":100},{""02-2026"":100}],""avg_absdelta"":0.93,""coefficient_of_variation"":3.31}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
74,60040 bonus,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
75,60050 bonus,opex,variable,,,0.150,"[{""company"":{""id"":279087,""name"":""Summit Strategy""},""history"":[{""02-2026"":0},{""12-2025"":26000}],""avg_absdelta"":1,""coefficient_of_variation"":0}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
76,6009 bonus,opex,variable,"[{""company"":{""id"":290228,""name"":""FORMM""},""thresholds"":[{""value"":3.48,""flagrate"":0.07,""confidence"":0,""created_on"":""2026-06-03T14:59:27Z"",""closing_month"":""03-2026""},{""value"":0.15,""flagrate"":0.21,""confidence"":0,""created_on"":""2026-06-04T12:34:13Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290228,""name"":""FORMM""},""history"":[{""01-2026"":1800},{""02-2026"":1800},{""03-2026"":7365},{""02-2025"":500},{""03-2025"":500},{""04-2025"":500},{""05-2025"":500},{""09-2025"":500},{""10-2025"":500},{""12-2025"":24500},{""06-2025"":500},{""07-2025"":500},{""08-2025"":500},{""11-2025"":500},{""01-2025"":500}],""avg_absdelta"":3.72,""coefficient_of_variation"":3.31}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
77,6023 employee bonus,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
78,6024 employee pr - bonuses,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
79,6025 employee bonuses,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
80,6111 employee pr - bonus,opex,variable,,,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""12-2025"":750}],""avg_absdelta"":0,""coefficient_of_variation"":0}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
81,6359 margin bonus,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
82,6361 bonus & incentives,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
83,6404 employee bonus,opex,variable,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""thresholds"":[{""value"":0.15,""flagrate"":0.33,""confidence"":0,""created_on"":""2026-06-03T14:56:10Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""history"":[{""12-2025"":17226.5},{""01-2026"":1000},{""02-2026"":1000},{""03-2026"":1000}],""avg_absdelta"":0.31,""coefficient_of_variation"":1.41}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
